method,mashup_id,num_positives,Recall@5,HitRate@5,NDCG@5,MAP@5,Recall@10,HitRate@10,NDCG@10,MAP@10,seed
SCF-LightGCN+BGE+Popularity,5475,1,1.0,1.0,0.6309297535714575,0.5,1.0,1.0,0.6309297535714575,0.5,0
SCF-LightGCN+BGE+Popularity,5481,1,1.0,1.0,0.6309297535714575,0.5,1.0,1.0,0.6309297535714575,0.5,0
SCF-LightGCN+BGE+Popularity,5484,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SCF-LightGCN+BGE+Popularity,5489,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
SCF-LightGCN+BGE+Popularity,5492,35,0.11428571428571428,1.0,0.8687949224876582,0.8,0.17142857142857143,1.0,0.7034066032439746,0.5380952380952382,0
SCF-LightGCN+BGE+Popularity,5494,1,0.0,0.0,0.0,0.0,1.0,1.0,0.3333333333333333,0.14285714285714285,0
SCF-LightGCN+BGE+Popularity,5498,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SCF-LightGCN+BGE+Popularity,5504,4,0.25,1.0,0.3903800499921017,0.25,0.25,1.0,0.3903800499921017,0.25,0
SCF-LightGCN+BGE+Popularity,5507,2,1.0,1.0,0.8503449055347546,0.7,1.0,1.0,0.8503449055347546,0.7,0
SCF-LightGCN+BGE+Popularity,5511,2,1.0,1.0,0.8772153153380493,0.75,1.0,1.0,0.8772153153380493,0.75,0
SCF-LightGCN+BGE+Popularity,5512,1,1.0,1.0,0.5,0.3333333333333333,1.0,1.0,0.5,0.3333333333333333,0
SCF-LightGCN+BGE+Popularity,5514,2,0.5,1.0,0.6131471927654584,0.5,0.5,1.0,0.6131471927654584,0.5,0
SCF-LightGCN+BGE+Popularity,5516,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
SCF-LightGCN+BGE+Popularity,5522,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SCF-LightGCN+BGE+Popularity,5529,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
SCF-LightGCN+BGE+Popularity,5537,5,0.4,1.0,0.30078518014914984,0.14666666666666667,0.6,1.0,0.42159648284864404,0.24666666666666667,0
SCF-LightGCN+BGE+Popularity,5543,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SCF-LightGCN+BGE+Popularity,5544,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
SCF-LightGCN+BGE+Popularity,5547,1,1.0,1.0,0.6309297535714575,0.5,1.0,1.0,0.6309297535714575,0.5,0
SCF-LightGCN+BGE+Popularity,5559,1,0.0,0.0,0.0,0.0,1.0,1.0,0.3333333333333333,0.14285714285714285,0
SCF-LightGCN+BGE+Popularity,5561,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
SCF-LightGCN+BGE+Popularity,5564,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SCF-LightGCN+BGE+Popularity,5565,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
SCF-LightGCN+BGE+Popularity,5577,1,1.0,1.0,0.5,0.3333333333333333,1.0,1.0,0.5,0.3333333333333333,0
SCF-LightGCN+BGE+Popularity,5578,1,1.0,1.0,0.43067655807339306,0.25,1.0,1.0,0.43067655807339306,0.25,0
SCF-LightGCN+BGE+Popularity,5579,1,1.0,1.0,0.5,0.3333333333333333,1.0,1.0,0.5,0.3333333333333333,0
SCF-LightGCN+BGE+Popularity,5581,1,0.0,0.0,0.0,0.0,1.0,1.0,0.3333333333333333,0.14285714285714285,0
