subset,method_a,method_b,metric,num_mashups,mean_a,mean_b,mean_difference,bootstrap_ci_low,bootstrap_ci_high,wilcoxon_statistic,p_raw,rank_biserial,method_a_win_rate,tie_rate,p_holm,significance,ci_excludes_zero
full,Inductive LightGCN,Graph+BGE,Recall@5,1645,0.6681998311667887,0.57219438670619,0.09600544446059865,0.0814955201599091,0.11003608745030843,44391.0,4.334023916758024e-40,0.5942154841835359,0.3069908814589666,0.5981762917933131,4.334023916758024e-39,***,True
full,Inductive LightGCN,Graph+BGE,NDCG@5,1645,0.6601341360263601,0.5346694408829059,0.12546469514345407,0.11230256455863992,0.1386636053309752,106227.5,1.503164659149969e-71,0.6305952761819977,0.505775075987842,0.34832826747720363,2.2547469887249534e-70,***,True
full,Inductive LightGCN,Graph+BGE,MAP@5,1645,0.609807497467072,0.4742731059326804,0.13553439153439154,0.12191088174040302,0.14918348530901723,97312.5,4.682144944304185e-77,0.6571360621515208,0.49969604863221884,0.3525835866261398,7.959646405317114e-76,***,True
full,Inductive LightGCN,Graph+BGE,Recall@10,1645,0.7199206220611144,0.6419604277362535,0.07796019432486098,0.06384268828822577,0.09226827612626826,46222.0,2.2855479469475154e-27,0.5055571601253704,0.26869300911854105,0.6285714285714286,1.8284383575580123e-26,***,True
full,Inductive LightGCN,Graph+BGE,NDCG@10,1645,0.6768596744546572,0.5591070931361808,0.11775258131847648,0.10517982251054393,0.1304726922452851,121505.0,5.110787492584281e-73,0.6203834750197611,0.5319148936170213,0.31246200607902735,8.17725998813485e-72,***,True
full,Inductive LightGCN,Graph+BGE,MAP@10,1645,0.6170662045748165,0.48554154155189033,0.13152466302292615,0.11816255878256589,0.14515755917408807,113861.0,2.1877386396950663e-78,0.6436359083902569,0.5282674772036474,0.3130699088145897,3.9379295514511196e-77,***,True
full,Inductive BPR-MF,Graph+BGE,Recall@5,1645,0.6523010209822643,0.57219438670619,0.08010663427607419,0.06596804307227908,0.09440812639226916,49035.0,2.3277044091904267e-30,0.5218896255850234,0.2826747720364742,0.6109422492401215,2.0949339682713842e-29,***,True
full,Inductive BPR-MF,Graph+BGE,NDCG@5,1645,0.6506183768207416,0.5346694408829059,0.11594893593783576,0.10279249385887838,0.12925923101800113,111043.5,1.4186082034991286e-63,0.5990326389565933,0.48145896656534953,0.36048632218844984,1.7023298441989544e-62,***,True
full,Inductive BPR-MF,Graph+BGE,MAP@5,1645,0.6018887200270179,0.4742731059326804,0.1276156140943375,0.11353990628166159,0.1416610984464708,101845.5,5.740692263359269e-70,0.6301402696445595,0.478419452887538,0.36231003039513676,8.036969168702978e-69,***,True
full,Inductive BPR-MF,Graph+BGE,Recall@10,1645,0.6982915477632377,0.6419604277362535,0.056331120026984094,0.04269398934002009,0.06953286843951367,51320.0,2.596349236310007e-17,0.4032245873330581,0.23951367781155014,0.6437689969604863,1.817444465417005e-16,***,True
full,Inductive BPR-MF,Graph+BGE,NDCG@10,1645,0.6652096402902452,0.5591070931361808,0.10610254715406439,0.093471423716244,0.11889485972317373,129575.0,3.379597988555157e-62,0.5774347033482369,0.5009118541033435,0.3270516717325228,3.717557787410672e-61,***,True
full,Inductive BPR-MF,Graph+BGE,MAP@10,1645,0.6084375099077117,0.48554154155189033,0.12289596835582145,0.10954630113288702,0.13627898933218638,118541.0,1.5979770944862315e-69,0.61201836138545,0.4990881458966565,0.3282674772036474,2.077370222832101e-68,***,True
full,Inductive LightGCN,Inductive BPR-MF,Recall@5,1645,0.6681998311667887,0.6523010209822643,0.015898810184524468,0.009428800584195722,0.022385576345302787,12158.0,8.239931476092363e-06,0.3152544282053448,0.09787234042553192,0.8382978723404255,4.1199657380461816e-05,***,True
full,Inductive LightGCN,Inductive BPR-MF,NDCG@5,1645,0.6601341360263601,0.6506183768207416,0.00951575920561831,0.004296745546692182,0.014743706585517406,54315.5,0.0028426547994546787,0.15311333037085545,0.16717325227963525,0.6924012158054711,0.005685309598909357,**,True
full,Inductive LightGCN,Inductive BPR-MF,MAP@5,1645,0.609807497467072,0.6018887200270179,0.007918777440054038,0.002568754925137904,0.013619758246088035,55460.5,0.010256979529644807,0.13183579227487965,0.16595744680851063,0.6930091185410334,0.010256979529644807,*,True
full,Inductive LightGCN,Inductive BPR-MF,Recall@10,1645,0.7199206220611144,0.6982915477632377,0.02162907429787689,0.014366013600382022,0.0291739761007949,16800.5,7.14838121978223e-09,0.3695990694358455,0.12401215805471125,0.8018237082066869,4.289028731869338e-08,***,True
full,Inductive LightGCN,Inductive BPR-MF,NDCG@10,1645,0.6768596744546572,0.6652096402902452,0.01165003416441209,0.006732131823757797,0.01673869544489317,77581.5,2.1916312415892837e-05,0.1965919505413424,0.20972644376899696,0.6224924012158055,8.766524966357135e-05,***,True
full,Inductive LightGCN,Inductive BPR-MF,MAP@10,1645,0.6170662045748165,0.6084375099077117,0.008628694667104713,0.003422486683141869,0.013854289688219468,81546.0,0.0007849293621739984,0.15553691535796946,0.2066869300911854,0.6224924012158055,0.0023547880865219953,**,True
deduplicated,Inductive LightGCN,Graph+BGE,Recall@5,1550,0.6536045178662244,0.5747569407710804,0.07884757709514398,0.06495569319053512,0.09271312074523495,41213.0,1.612298512578088e-29,0.5335653453300512,0.2832258064516129,0.6167741935483871,1.612298512578088e-28,***,True
deduplicated,Inductive LightGCN,Graph+BGE,NDCG@5,1550,0.6440336312591369,0.5359737066252113,0.10805992463392569,0.09534000904536398,0.12107061680296091,101016.5,3.3623289005363556e-57,0.5856396309923746,0.48258064516129034,0.3632258064516129,5.043493350804533e-56,***,True
deduplicated,Inductive LightGCN,Graph+BGE,MAP@5,1550,0.5920043010752688,0.4766991636798088,0.11530513739545997,0.10219954151732377,0.12894700418160093,93204.0,6.428580758841983e-62,0.6122074517880547,0.4761290322580645,0.36774193548387096,1.0928587290031372e-60,***,True
deduplicated,Inductive LightGCN,Graph+BGE,Recall@10,1550,0.7073207748827814,0.6457728512897761,0.0615479235930053,0.04760447753455343,0.07576052258302365,42841.0,1.5214945748127612e-18,0.4324755754263951,0.24580645161290324,0.6458064516129032,1.2171956598502089e-17,***,True
deduplicated,Inductive LightGCN,Graph+BGE,NDCG@10,1550,0.6617694780746058,0.5609360037664324,0.1008334743081736,0.08860948053194365,0.11295165608800574,115811.5,8.666743527158646e-59,0.577006872042675,0.5103225806451613,0.3251612903225806,1.3866789643453834e-57,***,True
deduplicated,Inductive LightGCN,Graph+BGE,MAP@10,1550,0.5998239887352791,0.4882042831947593,0.11161970554051968,0.09872225041280948,0.12430096321000522,109572.5,3.6594497006527833e-63,0.5990284245290787,0.5064516129032258,0.3258064516129032,6.58700946117501e-62,***,True
deduplicated,Inductive BPR-MF,Graph+BGE,Recall@5,1550,0.6368818021112506,0.5747569407710804,0.06212486134017015,0.048373138720493654,0.07586926685329771,45306.0,1.139969170555144e-20,0.4490030465001733,0.2574193548387097,0.6303225806451613,1.0259722534996296e-19,***,True
deduplicated,Inductive BPR-MF,Graph+BGE,NDCG@5,1550,0.6335474484942032,0.5359737066252113,0.09757374186899194,0.08435466585653534,0.11104945873431692,105436.0,1.413300920555092e-49,0.5494457596554052,0.4567741935483871,0.3761290322580645,1.6959611046661104e-48,***,True
deduplicated,Inductive BPR-MF,Graph+BGE,MAP@5,1550,0.583086678614098,0.4766991636798088,0.10638751493428913,0.09313650836320192,0.11971933841099164,97589.5,5.97020778088845e-55,0.5803775288628985,0.4535483870967742,0.37806451612903225,8.358290893243831e-54,***,True
deduplicated,Inductive BPR-MF,Graph+BGE,Recall@10,1550,0.684403682052669,0.6457728512897761,0.038630830762892955,0.02561861254944594,0.05151439968230382,47684.0,1.152895167996136e-09,0.30666666666666664,0.21483870967741936,0.6619354838709678,8.070266175972952e-09,***,True
deduplicated,Inductive BPR-MF,Graph+BGE,NDCG@10,1550,0.6489562665043533,0.5609360037664324,0.08802026273792113,0.07588986190194112,0.0999804839443393,123601.0,2.87139114955886e-48,0.5271151002481095,0.4774193548387097,0.3406451612903226,3.158530264514746e-47,***,True
deduplicated,Inductive BPR-MF,Graph+BGE,MAP@10,1550,0.5900735871349735,0.4882042831947593,0.10186930394021407,0.08911510780626468,0.11517309245696486,114199.5,2.1029883848266205e-54,0.5613700524284151,0.4754838709677419,0.3419354838709677,2.7338849002746065e-53,***,True
deduplicated,Inductive LightGCN,Inductive BPR-MF,Recall@5,1550,0.6536045178662244,0.6368818021112506,0.01672271575497382,0.009869547865515608,0.023761540192185352,11717.5,1.0456445816023972e-05,0.3145857096896844,0.10193548387096774,0.8316129032258065,4.182578326409589e-05,***,True
deduplicated,Inductive LightGCN,Inductive BPR-MF,NDCG@5,1550,0.6440336312591369,0.6335474484942032,0.010486182764933776,0.0050829689102362225,0.016073166733724307,50239.0,0.0015794059871019116,0.16473668897294153,0.1735483870967742,0.6838709677419355,0.003158811974203823,**,True
deduplicated,Inductive LightGCN,Inductive BPR-MF,MAP@5,1550,0.5920043010752688,0.583086678614098,0.008917622461170848,0.003174649044205497,0.01483238201911589,51222.5,0.005495590450881212,0.14490213263219398,0.17290322580645162,0.6845161290322581,0.005495590450881212,**,True
deduplicated,Inductive LightGCN,Inductive BPR-MF,Recall@10,1550,0.7073207748827814,0.684403682052669,0.02291709283011236,0.015104574488601544,0.030829372267330582,16472.5,7.783060751747303e-09,0.37038948132859384,0.13096774193548388,0.7916129032258065,4.669836451048382e-08,***,True
deduplicated,Inductive LightGCN,Inductive BPR-MF,NDCG@10,1550,0.6617694780746058,0.6489562665043533,0.012813211570252465,0.007704384760099528,0.01811396150511407,72196.5,7.992505663881482e-06,0.20971484866728696,0.21935483870967742,0.6103225806451613,3.996252831940741e-05,***,True
deduplicated,Inductive LightGCN,Inductive BPR-MF,MAP@10,1550,0.5998239887352791,0.5900735871349735,0.009750401600305596,0.004176056379989273,0.015276680431780435,75812.0,0.00029152474265991044,0.17013847080072245,0.2161290322580645,0.6103225806451613,0.0008745742279797314,***,True
deduplicated_no_api_mention,Inductive LightGCN,Graph+BGE,Recall@5,893,0.6492118422409576,0.5649272108662136,0.08428463137474403,0.06556550055088525,0.1032530160821693,13280.5,2.993570532354815e-20,0.5675864875864876,0.2956326987681971,0.6080627099664053,2.993570532354815e-19,***,True
deduplicated_no_api_mention,Inductive LightGCN,Graph+BGE,NDCG@5,893,0.6401441066207296,0.5076147054352707,0.13252940118545886,0.11540105013569771,0.1505162702150106,29589.0,3.127314357207219e-47,0.6771786269536044,0.5498320268756999,0.322508398656215,4.690971535810829e-46,***,True
deduplicated_no_api_mention,Inductive LightGCN,Graph+BGE,MAP@5,893,0.593909626311642,0.45105760856040816,0.14285201775123388,0.12563131713740616,0.16094559796358507,25067.5,5.114436503509183e-53,0.7219356627842485,0.5453527435610303,0.3281075027995521,8.694542055965612e-52,***,True
deduplicated_no_api_mention,Inductive LightGCN,Graph+BGE,Recall@10,893,0.6998673578164388,0.6382246946587241,0.06164266315771488,0.04261812082978343,0.08108695414011269,13250.5,2.3914237978921404e-11,0.43946444435043786,0.23852183650615902,0.6562150055991042,1.9131390383137123e-10,***,True
deduplicated_no_api_mention,Inductive LightGCN,Graph+BGE,NDCG@10,893,0.655836286879523,0.5332495877270529,0.12258669915247015,0.10644566030255173,0.13887131949327183,33737.5,1.117592145999774e-47,0.6647954494647159,0.574468085106383,0.29003359462486,1.7881474335996384e-46,***,True
deduplicated_no_api_mention,Inductive LightGCN,Graph+BGE,MAP@10,893,0.5997622634346759,0.46208991358560764,0.13767234984906823,0.12055121041744432,0.15494776190159953,29230.5,7.482461810994035e-54,0.7086578856878019,0.5711086226203808,0.2911534154535274,1.3468431259789262e-52,***,True
deduplicated_no_api_mention,Inductive BPR-MF,Graph+BGE,Recall@5,893,0.6307026648851958,0.5649272108662136,0.06577545401898212,0.047014530534020355,0.08510139571659728,14614.5,2.257615439414041e-14,0.4806503198294243,0.26539753639417696,0.6248600223964166,2.031853895472637e-13,***,True
deduplicated_no_api_mention,Inductive BPR-MF,Graph+BGE,NDCG@5,893,0.6270546040308386,0.5076147054352707,0.11943989859556786,0.10204389778054294,0.1372655557088242,33722.0,2.0422073493808715e-39,0.6209009252076939,0.5139977603583427,0.3325867861142217,2.2464280843189587e-38,***,True
deduplicated_no_api_mention,Inductive BPR-MF,Graph+BGE,MAP@5,893,0.5820320600555762,0.45105760856040816,0.13097445149516815,0.11328040883828958,0.1492720853552321,29422.0,4.425991101700674e-45,0.6670118552471493,0.5117581187010078,0.3348264277715566,5.753788432210876e-44,***,True
deduplicated_no_api_mention,Inductive BPR-MF,Graph+BGE,Recall@10,893,0.6809219939926086,0.6382246946587241,0.04269729933388454,0.02576999594076862,0.05963927389759845,13910.0,1.4649543292502482e-07,0.3540897587704024,0.21500559910414332,0.671892497200448,1.0254680304751737e-06,***,True
deduplicated_no_api_mention,Inductive BPR-MF,Graph+BGE,NDCG@10,893,0.6426278219998118,0.5332495877270529,0.10937823427275896,0.09294164064654525,0.12594637829906433,37754.5,3.718439439513092e-40,0.612774358974359,0.5375139977603584,0.3012318029115342,4.46212732741571e-39,***,True
deduplicated_no_api_mention,Inductive BPR-MF,Graph+BGE,MAP@10,893,0.5882545544623501,0.46208991358560764,0.12616464087674248,0.10870241243764313,0.14347438115221964,33316.5,1.2256564068612022e-45,0.6560930669460602,0.5352743561030235,0.303471444568869,1.715918969605683e-44,***,True
deduplicated_no_api_mention,Inductive LightGCN,Inductive BPR-MF,Recall@5,893,0.6492118422409576,0.6307026648851958,0.0185091773557619,0.009466419716279737,0.028009871619194132,3895.0,0.0004135949444389748,0.3300653594771242,0.1019036954087346,0.8297872340425532,0.002481569666633849,**,True
