subset,method,num_mashups,num_seeds,Recall@5_mean,Recall@5_std,NDCG@5_mean,NDCG@5_std,HitRate@5_mean,HitRate@5_std,MAP@5_mean,MAP@5_std,Recall@10_mean,Recall@10_std,NDCG@10_mean,NDCG@10_std,HitRate@10_mean,HitRate@10_std,MAP@10_mean,MAP@10_std
deduplicated,Popularity,1550,1,0.39348215838149725,0.0,0.3604727210916092,0.0,0.5425806451612903,0.0,0.31191523297491036,0.0,0.485018626252788,0.0,0.3919610972170735,0.0,0.6393548387096775,0.0,0.324597471127041,0.0
deduplicated,TF-IDF,1550,1,0.30022265531085995,0.0,0.2600118257126538,0.0,0.39741935483870966,0.0,0.22273602150537636,0.0,0.3677171884144095,0.0,0.28476419814605486,0.0,0.48258064516129034,0.0,0.23308256101723843,0.0
deduplicated,BM25,1550,1,0.3398926779694362,0.0,0.2984491681382981,0.0,0.4535483870967742,0.0,0.25750716845878135,0.0,0.41216974186980915,0.0,0.32417670209096705,0.0,0.5393548387096774,0.0,0.2682488991295443,0.0
deduplicated,Category-Jaccard,1550,1,0.10218963814881056,0.0,0.07704843876285335,0.0,0.14903225806451612,0.0,0.0599989247311828,0.0,0.14339114389585714,0.0,0.09146994079423623,0.0,0.21225806451612902,0.0,0.0651610001706776,0.0
deduplicated,BGE,1550,1,0.2566713166656241,0.0,0.22256560774762607,0.0,0.3445161290322581,0.0,0.19136146953405017,0.0,0.31578869391203357,0.0,0.24408484983887008,0.0,0.42258064516129035,0.0,0.20024231097456902,0.0
deduplicated,Inductive BPR-MF,1550,3,0.6368818021112506,0.0021072800087344108,0.6335474484942032,0.001422787913033429,0.8008602150537634,0.002375346455309062,0.583086678614098,0.001076219654600684,0.6844036820526691,0.0019813625863098197,0.6489562665043535,1.7244690106856453e-05,0.8288172043010752,0.0008046575025320305,0.5900735871349734,0.0004928889180615695
deduplicated,Inductive LightGCN,1550,3,0.6536045178662243,0.00037135510998531775,0.6440336312591369,0.00048429130849983454,0.8152688172043011,0.0010965633362565099,0.5920043010752688,0.0006559406801336286,0.7073207748827813,0.003913236769366075,0.6617694780746058,0.0011680674036579097,0.8490322580645162,0.001899303412113523,0.5998239887352791,0.000826628427926899
deduplicated,Graph-only,1550,3,0.3934821583814972,5.551115123125783e-17,0.3601796420284232,0.000369874891487898,0.5425806451612903,0.0,0.3115324372759856,0.0004221604521208891,0.48396438570010836,0.004252066388507997,0.39077002145727113,0.0012336474296149556,0.6458064516129033,0.0026338599384765423,0.3232743409948607,0.00047598243944750596
deduplicated,Graph+BGE,1550,3,0.5747569407710804,0.008433270718696349,0.5359737066252112,0.030097731080472385,0.7415053763440861,0.008693067927487187,0.4766991636798088,0.035802752433207026,0.6457728512897761,0.004174776128218817,0.5609360037664323,0.027093375302125463,0.798494623655914,0.0027031838903175402,0.48820428319475945,0.034319031254423205
deduplicated_cosine_lt_095,Popularity,1521,1,0.39206487759674824,0.0,0.3596933387735345,0.0,0.5410913872452334,0.0,0.3112438819490101,0.0,0.48227845980176726,0.0,0.39052449015425106,0.0,0.6357659434582511,0.0,0.3235544673222736,0.0
deduplicated_cosine_lt_095,TF-IDF,1521,1,0.3002816890632258,0.0,0.25982360246909053,0.0,0.3957922419460881,0.0,0.22275860179706333,0.0,0.3675071063175551,0.0,0.28443326879736697,0.0,0.4812623274161736,0.0,0.23298529145751368,0.0
deduplicated_cosine_lt_095,BM25,1521,1,0.3404889223225682,0.0,0.29847059700843526,0.0,0.452991452991453,0.0,0.25762108262108263,0.0,0.41262092914631004,0.0,0.32405614193850946,0.0,0.5391190006574622,0.0,0.2682326268223704,0.0
deduplicated_cosine_lt_095,Category-Jaccard,1521,1,0.1030970452316391,0.0,0.07801544737518391,0.0,0.14990138067061143,0.0,0.060912776682007445,0.0,0.14484304604771764,0.0,0.09257392311416882,0.0,0.21301775147928995,0.0,0.06614040122587131,0.0
deduplicated_cosine_lt_095,BGE,1521,1,0.2567985146822599,0.0,0.22251896142895916,0.0,0.3445101906640368,0.0,0.19129812258017387,0.0,0.31605685441397247,0.0,0.24407895697211082,0.0,0.42209072978303747,0.0,0.2002190584028191,0.0
deduplicated_cosine_lt_095,Inductive BPR-MF,1521,3,0.6315253955330516,0.002108738487093761,0.6279154728755291,0.0014264220866518334,0.7977207977207977,0.0024206357697101276,0.5768178220955998,0.0010601602535846599,0.6798656851950277,0.00201914004522037,0.6436234850883271,2.872554299617523e-05,0.8262108262108262,0.0008199994273008866,0.5839420854116112,0.0004767616978010042
