method_key,method,group,seeds,eligible_mashups,test_positive_count,Recall@5_mean,Recall@5_std,NDCG@5_mean,NDCG@5_std,HitRate@5_mean,HitRate@5_std,MAP@5_mean,MAP@5_std,Recall@10_mean,Recall@10_std,NDCG@10_mean,NDCG@10_std,HitRate@10_mean,HitRate@10_std,MAP@10_mean,MAP@10_std
graph_only,Graph-only,Head,3,1487,2919,0.45715361728307274,5.551115123125783e-17,0.4117055999108792,0.0003637810437915969,0.6039004707464694,0.0,0.35879492639916305,0.0004035025086727408,0.5613998623665745,0.004728559124933005,0.4473549276518442,0.001376178899008749,0.7162071284465367,0.0027454491625007607,0.3732185688666861,0.0005584479677205697
graph_only,Graph-only,Middle,3,237,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
graph_only,Graph-only,Tail,3,110,127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
graph_only,Graph-only,Unseen,3,144,196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bge_only,BGE-only,Head,3,1487,2919,0.1940800429115828,0.0,0.1595035337061169,0.0,0.2568930733019502,0.0,0.1346448853022491,0.0,0.2558358541630228,0.0,0.18186834814465538,2.7755575615628914e-17,0.3429724277067922,0.0,0.1434590970065078,0.0
bge_only,BGE-only,Middle,3,237,300,0.4143459915611814,0.0,0.3444075297802705,0.0,0.43037974683544294,5.551115123125783e-17,0.3181786216596344,0.0,0.450210970464135,0.0,0.3562870079171668,0.0,0.46835443037974683,5.551115123125783e-17,0.3231121492197443,0.0
bge_only,BGE-only,Tail,3,110,127,0.3575757575757575,0.0,0.2895221549198449,0.0,0.37272727272727274,5.551115123125783e-17,0.2652525252525253,0.0,0.4378787878787879,0.0,0.3157837753760832,0.0,0.4454545454545454,0.0,0.2763912938912939,0.0
bge_only,BGE-only,Unseen,3,144,196,0.4576003086419753,0.0,0.403589540069263,0.0,0.4861111111111111,0.0,0.3792418981481482,0.0,0.4972993827160494,0.0,0.4179052105257816,0.0,0.5347222222222222,0.0,0.3855392967372135,0.0
graph_bge_zscore,"Graph+BGE (z-score, λ=0.25)",Head,3,1487,2919,0.661232014476803,0.01012273448154907,0.6090203356191195,0.0345660752648413,0.8137188971082717,0.010475966326427194,0.5477773419014182,0.0407929373302692,0.7402846844255727,0.0033065677024323075,0.6375070554576806,0.031139824178243933,0.8717776283344542,0.0006340343252064672,0.5617824519904856,0.0391524340260792
graph_bge_zscore,"Graph+BGE (z-score, λ=0.25)",Middle,3,237,300,0.0611814345991561,0.014717615707775217,0.0402947995219163,0.016019893298154148,0.06188466947960617,0.015534966268899102,0.0333333333333333,0.016480721151448965,0.09563994374120954,0.011469413804711722,0.05150311757820217,0.015017568208509934,0.09845288326300979,0.013923340276528336,0.03785608242359293,0.016037255200929648
graph_bge_zscore,"Graph+BGE (z-score, λ=0.25)",Tail,3,110,127,0.012121212121212067,0.00857099128710963,0.0052975937072161005,0.0037471597160963007,0.012121212121212067,0.00857099128710963,0.0031313131313131,0.002217626101020195,0.012121212121212067,0.00857099128710963,0.0052975937072161005,0.0037471597160963007,0.012121212121212067,0.00857099128710963,0.0031313131313131,0.002217626101020195
graph_bge_zscore,"Graph+BGE (z-score, λ=0.25)",Unseen,3,144,196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
