mashup_id,mashup_name,api_id,api_name,api_group,direct_api_name_mention,direct_api_name_match,selection_level,selection_rule,strict_clean,scf_seed_appearances,lightgcn_seed_appearances,graph_bge_seed_appearances,bge_seed_appearances,scf_consensus_rank,lightgcn_consensus_rank,graph_bge_consensus_rank,bge_consensus_rank,scf_best_seed_rank,num_positives,case_type,case_label,head_positives,middle_positives,tail_positives,unseen_positives,scf_total_hits_over_3_seeds,all_methods_total_hits_over_3_seeds,mashup_description
6361,Rentals By Owner Canada,417,Geocoder.ca,Middle,0.0,,0,严格清洗子集；SCF 至少 2/3 seed 命中；LightGCN 与 Graph+BGE 均未命中,1,3.0,0.0,0.0,3.0,3.0,999.0,999.0,9.0,2.0,2,middle_rescue,Middle API 语义协同补救案例,,,,,,,rentals-by-owner-canada provides landlord free advertising rental property mapping
5242,Fix It Repair Guides Android,1385,Ifixit,Tail,0.0,,0,严格清洗子集；SCF 至少 2/3 seed 命中；LightGCN 与 Graph+BGE 均未命中,1,3.0,0.0,0.0,3.0,2.0,999.0,999.0,1.0,2.0,1,tail_rescue,Tail API 语义协同补救案例,,,,,,,fix-it-repair-guides-android android app thousand repair guide tutorial game console mobile phone computer household device car mobile
5544,Get Digitalhealth Patient Generated Health Data Pilots,29,Gethealth,Unseen,0.0,,0,严格清洗子集；SCF 至少 2/3 seed 命中；LightGCN 与 Graph+BGE 均未命中,1,3.0,0.0,0.0,3.0,1.0,999.0,999.0,1.0,1.0,1,unseen_rescue,训练交互未见 API 零样式补救案例,,,,,,,get-digitalhealth-patient-generated-health-data-pilots get digitalhealth mashup enables clinical trial sponsor clinical research organization academic researcherinvestigators set study select wearablesdevices start receiving data study participant participant click invite link sign consent provide authorization device data accessed get digitalhealth platform provides study team ability export data spreadsheet visualize directly push data clinical trial management system medidata openclinical mashup feature insightful analytics hipaa compliant security normalized intelligent data retrieval intergration ehr ctms health personal-information-management api wearable healthcare applications
4799,Esync Dashboard,-1,,Mixed,,,0,严格清洗子集；四种方法三个 seed 均未命中,1,,,,,,,,,,6,complex_failure,复杂多 API 失败案例,2.0,2.0,0.0,2.0,0.0,0.0,esync-dashboard kosmos central esync dashboard used manage esync partner app marketplace connecting apis together esync api also white labeled used software company also looking add additional connection api driven software integration mobile rest api-strategy api ipaas cloud enterprise api-management ecommerce
