method,num_mashups,Recall@5_mean,Recall@5_std_across_mashups,NDCG@5_mean,NDCG@5_std_across_mashups,MAP@5_mean,MAP@5_std_across_mashups,Recall@10_mean,Recall@10_std_across_mashups,NDCG@10_mean,NDCG@10_std_across_mashups,MAP@10_mean,MAP@10_std_across_mashups
Graph-only,1645,0.3920582599117403,0.4232940830489406,0.3599313060895051,0.39077390945543905,0.3103664302600473,0.381970841398275,0.48132385066450106,0.42364912736369686,0.3898805250567225,0.3752820234733552,0.3217668120308276,0.3742974725046446
BGE-only,1645,0.25453904638778585,0.39491617305632376,0.22136790418623042,0.3499734936365422,0.19040206011482608,0.3328025062924897,0.3151822835963726,0.4175223059537657,0.24349075001019838,0.34745258508839394,0.19941439105192904,0.33113136918186253
Graph+BGE,1645,0.57219438670619,0.3940798382782754,0.5346694408829059,0.3658173600333548,0.4742731059326804,0.3704520380747964,0.6419604277362535,0.38722233701149145,0.5591070931361808,0.35616978717515524,0.48554154155189033,0.3661232518997449
Popularity,1645,0.3920582599117403,0.4232940830489406,0.3602112312970252,0.39090808661200305,0.3107272880783519,0.3821087348757476,0.48210781930414187,0.4311143221197244,0.39096643299064254,0.37603640565799146,0.32300622309601534,0.3739251656561712
