subset,method_a,method_b,group,metric,num_mashups,mean_a,mean_b,mean_difference,relative_improvement_percent,bootstrap_ci_low,bootstrap_ci_high,wilcoxon_statistic,p_raw,rank_biserial,method_a_win_rate,tie_rate,p_holm_subset_global,p_holm_comparison,significance_global,ci_excludes_zero
full,SCF-LightGCN+BGE,Inductive LightGCN,Head,Recall@5,1487,0.7538458287785793,0.7511676727043237,0.002678156074255601,0.35653239237703227,-0.007230776863426494,0.012759442024741283,25980.0,0.693584208651135,-0.025159002645353746,0.09213180901143242,0.7807666442501682,1.0,1.0,ns,False
full,SCF-LightGCN+BGE,Inductive LightGCN,Head,NDCG@5,1487,0.7357821714911215,0.7341327638441227,0.0016494076469986687,0.22467429983126116,-0.0061162717387430055,0.009454132916008644,73225.0,0.6430201049861355,-0.0228719358411508,0.17350369872225957,0.6321452589105582,1.0,1.0,ns,False
full,SCF-LightGCN+BGE,Inductive LightGCN,Head,MAP@5,1487,0.685548270193529,0.6853595357294079,0.00018873446412114936,0.027538022640960974,-0.00804292603800842,0.008280053675060397,73764.5,0.696071027358106,-0.019258638799143767,0.17484868863483524,0.6314727639542703,1.0,1.0,ns,False
full,SCF-LightGCN+BGE,Inductive LightGCN,Head,Recall@10,1487,0.802793590024592,0.8048266317012114,-0.002033041676619348,-0.2526061634319907,-0.011688859671795112,0.007924841774455085,25185.5,0.16052009429729908,-0.08876949238395021,0.09280430396772024,0.7767316745124412,0.9631205657837945,0.9631205657837945,ns,False
full,SCF-LightGCN+BGE,Inductive LightGCN,Head,NDCG@10,1487,0.7524879918388112,0.7524832831933388,4.708645472529217e-06,0.0006257475186089156,-0.0072032907763419805,0.006986576133402253,94040.0,0.3667796641771779,-0.041635456634615875,0.20242098184263618,0.5790181573638198,1.0,1.0,ns,False
full,SCF-LightGCN+BGE,Inductive LightGCN,Head,MAP@10,1487,0.6936381181840839,0.6942492410569381,-0.0006111228728541764,-0.08802643729560172,-0.008434262003960137,0.007312778009729796,94037.5,0.40318782241428264,-0.03859424920127796,0.20174848688634836,0.5796906523201076,1.0,1.0,ns,False
full,SCF-LightGCN+BGE,Inductive LightGCN,Middle,Recall@5,237,0.4229254571026724,0.23956868260665726,0.183356774496015,76.5362035225049,0.1355368026254102,0.2332911392405063,131.0,5.6240299546972265e-11,0.891511387163561,0.25738396624472576,0.7088607594936709,1.6309686868621958e-09,1.0123253918455008e-09,***,True
full,SCF-LightGCN+BGE,Inductive LightGCN,Middle,NDCG@5,237,0.2949669767604485,0.15245592365653346,0.14251105310391513,93.47688806436734,0.10955526128951315,0.17595565191491505,314.0,7.215762539849538e-14,0.8705421562564419,0.35864978902953587,0.5864978902953587,2.4533592635488427e-12,1.5874677587668984e-12,***,True
full,SCF-LightGCN+BGE,Inductive LightGCN,Middle,MAP@5,237,0.24768479449914046,0.1212103453664635,0.126474449132677,104.34294923448834,0.09677871542428503,0.1579368260665729,329.5,1.0730911835772877e-13,0.8641517212945784,0.35864978902953587,0.5864978902953587,3.5412009058050497e-12,2.2534914855123043e-12,***,True
full,SCF-LightGCN+BGE,Inductive LightGCN,Middle,Recall@10,237,0.5260196905766525,0.32032348804500704,0.20569620253164558,64.21514818880351,0.1570557899671824,0.25668366150961086,226.0,2.1210691551611978e-12,0.8733893557422969,0.3037974683544304,0.6455696202531646,6.787421296515833e-11,4.2421383103223957e-11,***,True
full,SCF-LightGCN+BGE,Inductive LightGCN,Middle,NDCG@10,237,0.32987929837001445,0.17992424939893567,0.14995504897107884,83.34343451315011,0.12016669004134306,0.18108993473835022,583.5,5.5245498654497727e-17,0.8564222440944882,0.4430379746835443,0.4641350210970464,2.0440834502164158e-15,1.3258919677079455e-15,***,True
full,SCF-LightGCN+BGE,Inductive LightGCN,Middle,MAP@10,237,0.2628217392598546,0.13283920850728162,0.12998253075257296,97.8495221502678,0.10091386581980814,0.15994054642094377,685.0,4.2490962100559827e-16,0.8314468503937008,0.4472573839662447,0.4641350210970464,1.487183673519594e-14,9.77292128312876e-15,***,True
full,SCF-LightGCN+BGE,Inductive LightGCN,Tail,Recall@5,110,0.3181818181818182,0.11666666666666665,0.20151515151515148,172.72727272727272,0.12575757575757576,0.2803030303030303,32.0,8.443484347651283e-06,0.8787878787878788,0.2636363636363636,0.7090909090909091,6.754787478121026e-05,6.754787478121026e-05,***,True
full,SCF-LightGCN+BGE,Inductive LightGCN,Tail,NDCG@5,110,0.22131235753673567,0.08304732961497331,0.13826502792176232,166.4894326678426,0.08726148576637022,0.1901807870278088,57.0,3.3355598774802286e-06,0.8538461538461538,0.3181818181818182,0.6454545454545455,3.0020038897322057e-05,3.0020038897322057e-05,***,True
full,SCF-LightGCN+BGE,Inductive LightGCN,Tail,MAP@5,110,0.18237373737373735,0.06994949494949494,0.11242424242424243,160.72202166064983,0.06742424242424243,0.16116351010101002,77.0,1.2395003891505447e-05,0.8025641025641026,0.3181818181818182,0.6454545454545455,8.676502724053813e-05,8.676502724053813e-05,***,True
full,SCF-LightGCN+BGE,Inductive LightGCN,Tail,Recall@10,110,0.4106060606060606,0.15606060606060607,0.2545454545454545,163.10679611650482,0.17424242424242423,0.33787878787878795,26.0,6.211630971744374e-07,0.9174603174603174,0.3,0.6818181818181818,6.8327940689188115e-06,6.8327940689188115e-06,***,True
full,SCF-LightGCN+BGE,Inductive LightGCN,Tail,NDCG@10,110,0.2527683160944375,0.09714525121803555,0.155623064876402,160.19626582375827,0.1053538321235005,0.2090465321860382,64.5,1.9745272960757987e-07,0.8806660499537465,0.37272727272727274,0.5818181818181818,2.3694327552909584e-06,2.3694327552909584e-06,***,True
full,SCF-LightGCN+BGE,Inductive LightGCN,Tail,MAP@10,110,0.19786796536796536,0.07583193041526375,0.12203603495270163,160.92961669895422,0.07770113836780505,0.17047297378547377,89.5,8.268332490474651e-07,0.8344125809435707,0.37272727272727274,0.5818181818181818,8.268332490474651e-06,8.268332490474651e-06,***,True
full,SCF-LightGCN+BGE,Inductive LightGCN,Unseen,Recall@5,144,0.24224537037037036,0.0,0.24224537037037036,24224537037037.035,0.17627314814814815,0.3125,0.0,4.14582536497604e-09,1.0,0.2569444444444444,0.7430555555555556,8.706233266449683e-08,6.218738047464059e-08,***,True
full,SCF-LightGCN+BGE,Inductive LightGCN,Unseen,NDCG@5,144,0.15225477317288638,0.0,0.15225477317288638,15225477317288.639,0.10763355937003881,0.19994717734729964,0.0,1.1103930025090097e-07,1.0,0.2569444444444444,0.7430555555555556,1.772211422893446e-06,1.5506849950317651e-06,***,True
full,SCF-LightGCN+BGE,Inductive LightGCN,Unseen,MAP@5,144,0.12080632716049383,0.0,0.12080632716049383,12080632716049.383,0.08264949845679014,0.1633303433641975,0.0,1.1076321393084037e-07,1.0,0.2569444444444444,0.7430555555555556,1.772211422893446e-06,1.5506849950317651e-06,***,True
full,SCF-LightGCN+BGE,Inductive LightGCN,Unseen,Recall@10,144,0.3462962962962963,0.0,0.3462962962962963,34629629629629.633,0.26921296296296293,0.42569444444444443,0.0,3.641176890352229e-12,1.0,0.3680555555555556,0.6319444444444444,1.1287648360091909e-10,6.918236091669235e-11,***,True
