method,mashup_id,group,positive_count,Recall@5,NDCG@5,MAP@5,Recall@10,NDCG@10,MAP@10
Graph+BGE,108,Head,3,0.6666666666666666,0.7039180890341347,0.5555555555555555,0.6666666666666666,0.7039180890341347,0.5555555555555555
Graph+BGE,110,Head,2,0.8333333333333334,0.8033610990838985,0.6944444444444443,1.0,0.8624408613452476,0.7277777777777777
Graph+BGE,113,Head,1,1.0,0.8333333333333334,0.7777777777777778,1.0,0.8333333333333334,0.7777777777777778
Graph+BGE,116,Head,2,1.0,0.9732402630493958,0.9444444444444443,1.0,0.9732402630493958,0.9444444444444443
Graph+BGE,123,Head,12,0.2222222222222222,0.5240091568436483,0.35000000000000003,0.3333333333333333,0.43754008208836703,0.24675925925925926
Graph+BGE,123,Unseen,2,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,127,Head,1,1.0,0.8102255193577976,0.75,1.0,0.8102255193577976,0.75
Graph+BGE,127,Unseen,1,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,128,Head,4,0.5,0.6366824387328317,0.5,0.5,0.6366824387328317,0.5
Graph+BGE,129,Head,1,1.0,0.5641786884054361,0.4166666666666667,1.0,0.5641786884054361,0.4166666666666667
Graph+BGE,132,Head,3,0.7777777777777777,0.8122489031706418,0.7129629629629629,1.0,0.9137379690008146,0.8022486772486772
Graph+BGE,136,Head,2,0.8333333333333334,0.8710490642551528,0.8333333333333334,1.0,0.9325742965150088,0.8703703703703703
Graph+BGE,139,Head,2,0.6666666666666666,0.7011699002896554,0.5833333333333334,0.8333333333333334,0.7602496625510046,0.6166666666666667
Graph+BGE,142,Head,3,0.3333333333333333,0.3802215995153535,0.25,0.5555555555555555,0.48115907564823684,0.30925925925925923
Graph+BGE,142,Middle,2,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,142,Unseen,1,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,143,Head,6,0.3333333333333333,0.3757291164399685,0.2222222222222222,0.4444444444444444,0.4003165488573024,0.22962962962962963
Graph+BGE,152,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,154,Head,3,0.2222222222222222,0.31285248401517096,0.2222222222222222,0.3333333333333333,0.3599414749684473,0.23456790123456792
Graph+BGE,154,Middle,1,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,156,Head,4,0.25,0.3903800499921017,0.25,0.25,0.3903800499921017,0.25
Graph+BGE,156,Tail,1,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,156,Unseen,1,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,158,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,162,Head,2,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,172,Head,2,0.5,0.6131471927654584,0.5,0.5,0.6131471927654584,0.5
