subset,method,coverage@10,personalization@10,gini@10,avg_popularity@10,novelty@10,head_exposure@10,tail_recall@10,unseen_recall@10
full,Graph+BGE,0.1305403764420158,0.7534382104725251,0.975360340159782,342.55345491388044,6.668148294517281,0.9906990881458967,0.012121212121212121,0.0
full,Inductive LightGCN,0.4602307225258045,0.8889019108115847,0.9225188162567536,239.4593515704154,7.730117594468641,0.8993718338399189,0.15606060606060604,0.0
full,SCF-LightGCN+BGE,0.7308237198947581,0.9516407712906926,0.8135178572197524,160.805390070922,9.301099441629349,0.6677406281661601,0.41060606060606064,0.3462962962962963
strict_clean,Graph+BGE,0.10726573568103621,0.7543047652992921,0.9760420746377217,338.07588168373155,6.710807692138002,0.9906712172923777,0.012578616352201257,0.0
strict_clean,Inductive LightGCN,0.32523780611212305,0.8757037875520002,0.9384651055377228,242.9612817595753,7.733669224928008,0.9078498293515359,0.05974842767295597,0.0
strict_clean,SCF-LightGCN+BGE,0.5624367536935843,0.939698541048032,0.8447368596768374,172.17800530906334,9.29121260790313,0.664012135001896,0.29245283018867924,0.20684931506849313
