subset,method,K,seeds,num_mashups,catalog_size,catalog_coverage_mean,catalog_coverage_std,seen_catalog_coverage_mean,seen_catalog_coverage_std,long_tail_catalog_coverage_mean,long_tail_catalog_coverage_std,unique_recommended_apis_mean,unique_recommended_apis_std,unique_lists_mean,unique_lists_std,unique_list_ratio_mean,unique_list_ratio_std,avg_pairwise_jaccard_mean,avg_pairwise_jaccard_std,personalization_mean,personalization_std,gini_mean,gini_std,normalized_entropy_mean,normalized_entropy_std,effective_catalog_size_mean,effective_catalog_size_std,avg_train_frequency_mean,avg_train_frequency_std,avg_log1p_train_frequency_mean,avg_log1p_train_frequency_std,novelty_mean,novelty_std
full,Graph+BGE,5,3,1645,1647,0.10180125480671927,0.022227714410359704,0.12001908852302552,0.02620547289467605,0.021486123545210383,0.011037446737634694,167.66666666666666,36.609045633862436,1545.3333333333333,70.95695095541302,0.9394123606889565,0.04313492459295625,0.21648874835261364,0.09435498686606496,0.7835112516473863,0.09435498686606497,0.9820972459828408,0.008575271550109845,0.4666028783374769,0.06602195349616244,35.9058393324195,18.503204647410413,472.370780141844,123.96672903855014,5.301645720145931,0.49021491414490703,6.0844632846543165,0.7072306256066663
full,Graph+BGE,10,3,1645,1647,0.1305403764420158,0.018018232231576586,0.15390121689334288,0.021242683239374834,0.03819755296926291,0.008215995164390453,215.0,29.676028485406647,1645.0,0.0,1.0,0.0,0.24656178952747485,0.08757791971444104,0.7534382104725251,0.08757791971444104,0.975360340159782,0.008465989644181122,0.5245021023644182,0.0463930824893888,51.77059147677949,18.983870724878837,342.55345491388044,75.28976484873252,4.897066101224313,0.37072240052687366,6.668148294517281,0.5348393687865731
strict_clean,Graph+BGE,5,3,879,1647,0.07994333130945153,0.020987956827659842,0.09424958243855881,0.024743854613568914,0.011936735302894658,0.009255781807980198,131.66666666666666,34.56716489515576,840.6666666666666,22.17105219775452,0.956389836935912,0.025223040042951637,0.2162897177953633,0.08733250894814455,0.7837102822046367,0.08733250894814455,0.9830347129115601,0.008251845428439363,0.46169720952455706,0.0641903532189146,34.37697981578627,17.174011020736575,472.4530147895336,118.60724307648626,5.264184263528411,0.5027641950187753,6.13850874234089,0.7253354108901189
strict_clean,Graph+BGE,10,3,879,1647,0.10726573568103621,0.01993086906150201,0.1264614650441422,0.02349759580837066,0.021486123545210383,0.007049246082374048,176.66666666666666,32.826141344293816,879.0,0.0,1.0,0.0,0.24569523470070798,0.08542561502475543,0.7543047652992921,0.08542561502475543,0.9760420746377217,0.008431437400385648,0.5218070884568076,0.04648213836965155,50.753671687450584,18.60157362150882,338.07588168373155,73.87298301878371,4.867496860039125,0.3872726608115138,6.710807692138002,0.5587163472246435
full,Inductive LightGCN,5,3,1645,1647,0.3001416717263712,0.0020035407683893333,0.35385349558577905,0.002362084212982979,0.22649955237242614,0.003186236422569776,494.3333333333333,3.299831645537222,1541.0,2.160246899469287,0.9367781155015198,0.00131321999967738,0.10593874933279901,0.0019479038919114336,0.894061250667201,0.0019479038919114461,0.9507338939916546,0.0008587337590367824,0.5849099956813323,0.0019374851416773388,76.12386050579865,1.0868095221339618,368.4348125633232,4.124062028159667,4.711918950836176,0.014777350943619478,6.935259170216971,0.02131921092383695
full,Inductive LightGCN,10,3,1645,1647,0.4602307225258045,0.00276020677939402,0.5425912670007158,0.003254159316866095,0.4339003282602208,0.0022331586910020553,758.0,4.546060565661952,1644.6666666666667,0.4714045207910317,0.9997973657548126,0.00028656809774531587,0.11109808918841539,0.00022733313075301042,0.8889019108115847,0.000227333130753017,0.9225188162567536,0.0014673876353503074,0.6580029882083912,0.002045760309460011,130.81089657624133,1.9860391376301858,239.4593515704154,2.954233438846794,4.160965075121811,0.014001622921886264,7.730117594468641,0.020200071953803213
strict_clean,Inductive LightGCN,5,3,879,1647,0.19611414693381904,0.0034702344058859104,0.23120973514674303,0.004091249868642862,0.11071321993434795,0.0036791489125449005,323.0,5.715476066494082,840.6666666666666,4.642796092394706,0.956389836935912,0.0052819068172863795,0.11616371807143057,0.0016626756052161636,0.8838362819285694,0.0016626756052161473,0.9621477921844086,0.0011053259860571304,0.5617458518081421,0.00322150464557035,64.13397063860761,1.5342354986474285,384.2354948805461,3.7223871081473052,4.723564252984818,0.016595335666801974,6.918458550557474,0.02394200846838276
strict_clean,Inductive LightGCN,10,3,879,1647,0.32523780611212305,0.0071726553922968565,0.38344070627535193,0.008456237244891127,0.25395404356908385,0.009734113058967533,535.6666666666666,11.8133634311129,878.6666666666666,0.4714045207910317,0.999620781190747,0.0005362963831525075,0.12429621244799978,0.004048458240263352,0.8757037875520002,0.004048458240263341,0.9384651055377228,0.001711975315527074,0.6340296522550894,0.0034826441061366247,109.55299504573962,2.844791807782815,242.9612817595753,2.5984425217675584,4.158503272482509,0.01260691758091341,7.733669224928008,0.018187937474879554
full,SCF-LightGCN+BGE,5,3,1645,1647,0.5203400121432908,0.0039348759553174606,0.5614411834884275,0.002941738965864434,0.46792002387347065,0.0018395744562724502,857.0,6.48074069840786,1628.0,2.8284271247461903,0.9896656534954408,0.001719408586471843,0.052948461110960486,0.00034647302015746806,0.9470515388890396,0.00034647302015743846,0.8736884907562735,0.0012135315049513875,0.7095939028613856,0.0013795082436714454,191.67650670780037,1.9649889250427859,271.8124012158055,1.9755677234961677,3.7037269294435533,0.01696119832601369,8.389772799743927,0.024469836712473447
full,SCF-LightGCN+BGE,10,3,1645,1647,0.7308237198947581,0.0027303658294337264,0.7659269863994274,0.001753392800846972,0.7093404953745152,0.0016881092955811352,1203.6666666666667,4.496912521077347,1644.6666666666667,0.4714045207910317,0.9997973657548126,0.0002865680977453159,0.04835922870930729,0.0008582480243605877,0.9516407712906926,0.0008582480243605725,0.8135178572197524,0.0015361778465398615,0.7810708226938777,0.0016880576394492672,325.4613750893773,4.068125684472844,160.805390070922,0.9348094655832201,3.07204343705151,0.013855165114209506,9.301099441629349,0.019988778000967263
strict_clean,SCF-LightGCN+BGE,5,3,879,1647,0.36875126492612836,0.0014311005488495065,0.40825578620854214,0.0032189781825893845,0.3079677708146822,0.004385836603013751,607.3333333333334,2.357022603955158,874.6666666666666,0.9428090415820634,0.9950701554797118,0.0010725927663049627,0.06685359067505377,0.0009558333526047023,0.9331464093249462,0.0009558333526047221,0.9005913925388987,0.0016000571908115079,0.6798518414943793,0.002671871113369434,153.80136940526828,3.048676394734641,298.6579446340538,1.666118045639113,3.724907141953819,0.022592633013712386,8.359216212190393,0.03259427960950776
strict_clean,SCF-LightGCN+BGE,10,3,879,1647,0.5624367536935843,0.007588882112630114,0.6079694583631591,0.006774072806766079,0.5305878842136676,0.008842454425561943,926.3333333333334,12.498888839501783,879.0,0.0,1.0,0.0,0.0603014589519681,0.0019762740471553617,0.939698541048032,0.0019762740471553496,0.8447368596768374,0.001575787757334033,0.7545457289873664,0.0024405236132113645,267.4319743923972,4.8301681865959685,172.17800530906334,1.3964615403926846,3.0788964679735034,0.01952099706368659,9.29121260790313,0.02816284565698909
