method,K,seeds,num_mashups,catalog_size,total_recommendation_slots,unique_recommended_apis_mean,unique_recommended_apis_std,catalog_coverage_mean,catalog_coverage_std,seen_catalog_coverage_mean,seen_catalog_coverage_std,long_tail_catalog_coverage_mean,long_tail_catalog_coverage_std,unique_lists_mean,unique_lists_std,unique_list_ratio_mean,unique_list_ratio_std,avg_pairwise_jaccard_mean,avg_pairwise_jaccard_std,personalization_mean,personalization_std,gini_mean,gini_std,normalized_entropy_mean,normalized_entropy_std,effective_catalog_size_mean,effective_catalog_size_std,avg_train_frequency_mean,avg_train_frequency_std,avg_log1p_train_frequency_mean,avg_log1p_train_frequency_std,novelty_mean,novelty_std
Popularity,5,3,1645,1647,8225,5.0,0.0,0.0030358227079538553,0.0,0.0035790980672870437,0.0,0.0,0.0,1.0,0.0,0.0006079027355623101,0.0,1.0,0.0,0.0,0.0,0.9969641772920461,0.0,0.21729455504137127,0.0,5.000000000000001,0.0,770.4,0.0,6.447638759037797,0.0,4.431144810551747,0.0
Popularity,10,3,1645,1647,16450,10.0,0.0,0.006071645415907711,0.0,0.0071581961345740875,0.0,0.0,0.0,1.0,0.0,0.0006079027355623101,0.0,1.0,0.0,0.0,0.0,0.9939283545840923,0.0,0.31087822609467847,0.0,9.999999999999998,0.0,492.7,0.0,5.8867123276633935,0.0,5.240390591399142,0.0
Graph-only,5,3,1645,1647,8225,5.0,0.0,0.0030358227079538553,0.0,0.0035790980672870437,0.0,0.0,0.0,1.3333333333333333,0.4714045207910317,0.0008105369807497468,0.00028656809774530806,1.0,0.0,0.0,0.0,0.9969641772920461,0.0,0.21729455504137127,0.0,5.000000000000001,0.0,770.4,0.0,6.447638759037797,0.0,4.431144810551747,0.0
Graph-only,10,3,1645,1647,16450,10.333333333333334,0.4714045207910317,0.006274033596437968,0.00028622010976990417,0.007396802672393223,0.0003374406018547112,0.0,0.0,3.6666666666666665,0.9428090415820634,0.0022289766970618034,0.0005731361954906161,0.9697149427852954,0.04282953865028052,0.030285057214704685,0.04282953865028052,0.9939088170503122,2.7630245247099025e-05,0.3139949795297388,0.00440775497843525,10.23903036708981,0.33803998695743137,489.8458763931105,2.5871709377532515,5.860987960155124,0.02474908571733179,5.277503008833329,0.03570538323093092
BGE-only,5,3,1645,1647,8225,1259.0,0.0,0.7644201578627808,0.0,0.7659269863994274,0.0,0.7421665174574755,1.1102230246251565e-16,1642.0,0.0,0.998176291793313,0.0,0.006572926318117446,8.673617379884035e-19,0.9934270736818825,0.0,0.6712749163533956,0.0,0.8823199465855729,0.0,688.8948286027844,0.0,12.063465045592705,0.0,1.3256438213588448,0.0,11.820621506599545,1.7763568394002505e-15
BGE-only,10,3,1645,1647,16450,1464.0,0.0,0.8888888888888888,0.0,0.8833214030064424,0.0,0.866606982990152,1.1102230246251565e-16,1645.0,0.0,1.0,0.0,0.011380895277608343,0.0,0.9886191047223917,0.0,0.632851846315397,0.0,0.898270942509893,1.1102230246251565e-16,775.286802389679,0.0,11.224498480243161,0.0,1.2882270253473749,0.0,11.874602532651247,1.7763568394002505e-15
Graph+BGE,5,3,1645,1647,8225,167.66666666666666,36.609045633862436,0.10180125480671927,0.022227714410359704,0.12001908852302552,0.02620547289467605,0.021486123545210383,0.011037446737634694,1545.3333333333333,70.95695095541302,0.9394123606889565,0.04313492459295625,0.21648874835261364,0.09435498686606496,0.7835112516473863,0.09435498686606497,0.9820972459828408,0.008575271550109845,0.4666028783374769,0.06602195349616244,35.9058393324195,18.503204647410413,472.370780141844,123.96672903855014,5.301645720145931,0.49021491414490703,6.0844632846543165,0.7072306256066663
Graph+BGE,10,3,1645,1647,16450,215.0,29.676028485406647,0.1305403764420158,0.018018232231576586,0.15390121689334288,0.021242683239374834,0.03819755296926291,0.008215995164390453,1645.0,0.0,1.0,0.0,0.24656178952747485,0.08757791971444104,0.7534382104725251,0.08757791971444104,0.975360340159782,0.008465989644181122,0.5245021023644182,0.0463930824893888,51.77059147677949,18.983870724878837,342.55345491388044,75.28976484873252,4.897066101224313,0.37072240052687366,6.668148294517281,0.5348393687865731
